"Case.Earliest.Date","Confirmation.Status","Gender","Age.Group","Hospitalization","ICU","Death","Race","Count"
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","African American",1
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","70 - 79","Missing","Missing","Missing","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","70 - 79","No","Missing","Unknown","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","70 - 79","Yes","Missing","No","African American",2
"2020/02/01","Laboratory-confirmed case","Male","80+","Yes","Unknown","Yes","Unknown",1
"2020/02/01","Laboratory-confirmed case","Unknown","50 - 59","No","Unknown","No","Caucasian",1
"2020/02/01","Probable Case","Female","10 - 19","No","Missing","No","Caucasian",1
"2020/02/01","Probable Case","Female","10 - 19","No","No","No","Caucasian",1
"2020/02/01","Probable Case","Female","30 - 39","No","Missing","No","Caucasian",1
"2020/02/01","Probable Case","Female","30 - 39","No","No","No","Caucasian",1
"2020/02/01","Probable Case","Female","30 - 39","No","Unknown","Unknown","Unknown",1
"2020/02/01","Probable Case","Female","40 - 49","No","Missing","Missing","Unknown",1
"2020/02/01","Probable Case","Female","40 - 49","No","Missing","No","Caucasian",2
"2020/02/01","Probable Case","Female","40 - 49","No","Unknown","No","Caucasian",1
"2020/02/01","Probable Case","Female","40 - 49","Unknown","Unknown","No","Caucasian",1
"2020/02/01","Probable Case","Female","50 - 59","No","Missing","Missing","Caucasian",2
"2020/02/01","Probable Case","Female","50 - 59","No","No","No","Unknown",1
"2020/02/01","Probable Case","Female","50 - 59","Unknown","Unknown","No","Unknown",1
"2020/02/01","Probable Case","Female","50 - 59","Yes","Unknown","Unknown","African American",1
"2020/02/01","Probable Case","Female","60 - 69","Missing","Missing","Missing","Caucasian",1
"2020/02/01","Probable Case","Female","60 - 69","No","Missing","Missing","Caucasian",1
"2020/02/01","Probable Case","Female","60 - 69","No","Missing","No","Caucasian",2
"2020/02/01","Probable Case","Female","70 - 79","Yes","No","No","Unknown",1
"2020/02/01","Probable Case","Female","80+","Yes","Unknown","Yes","Latino",1
"2020/02/01","Probable Case","Male","0 - 9","Yes","Missing","No","Caucasian",1
"2020/02/01","Probable Case","Male","10 - 19","No","Unknown","No","Caucasian",1
"2020/02/01","Probable Case","Male","20 - 29","Unknown","Unknown","Unknown","Unknown",1
"2020/02/01","Probable Case","Male","30 - 39","No","Missing","No","Multiracial/Other",1
"2020/02/01","Probable Case","Male","40 - 49","Missing","Missing","Missing","Unknown",1
"2020/02/01","Probable Case","Male","40 - 49","No","Missing","No","Caucasian",2
"2020/02/01","Probable Case","Male","40 - 49","No","Unknown","No","Unknown",1
"2020/02/01","Probable Case","Male","40 - 49","No","Unknown","Unknown","Caucasian",1
"2020/02/01","Probable Case","Male","50 - 59","Missing","Missing","Missing","Unknown",2
"2020/02/01","Probable Case","Male","50 - 59","Missing","Missing","Missing","Caucasian",1
"2020/02/01","Probable Case","Male","50 - 59","No","No","Missing","Caucasian",1
"2020/02/01","Probable Case","Male","60 - 69","Missing","Missing","Missing","Unknown",1
"2020/02/01","Probable Case","Male","60 - 69","No","Missing","No","Unknown",1
"2020/02/01","Probable Case","Male","60 - 69","No","Missing","No","Caucasian",1
"2020/02/01","Probable Case","Male","60 - 69","No","No","No","Unknown",1
"2020/02/01","Probable Case","Male","60 - 69","No","No","No","Caucasian",1
"2020/02/01","Probable Case","Male","60 - 69","Yes","No","No","Caucasian",1
"2020/02/01","Probable Case","Male","70 - 79","No","Missing","Missing","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Female","10 - 19","No","Missing","No","Unknown",1
"2020/02/02","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","African American",1
"2020/02/02","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","Unknown",1
"2020/02/02","Laboratory-confirmed case","Female","20 - 29","No","Missing","Missing","Unknown",1
"2020/02/02","Laboratory-confirmed case","Female","20 - 29","No","Missing","No","Unknown",1
"2020/02/02","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","Missing","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Female","30 - 39","No","Missing","Missing","Asian",1
"2020/02/02","Laboratory-confirmed case","Female","30 - 39","No","Missing","No","Latino",1
"2020/02/02","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","Unknown",1
"2020/02/02","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Female","40 - 49","No","No","Missing","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Female","40 - 49","Yes","Yes","Unknown","Latino",1
"2020/02/02","Laboratory-confirmed case","Female","50 - 59","Missing","Missing","Missing","African American",1
"2020/02/02","Laboratory-confirmed case","Female","50 - 59","No","Missing","Missing","Latino",1
"2020/02/02","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","Unknown",1
"2020/02/02","Laboratory-confirmed case","Female","60 - 69","Unknown","Missing","No","Unknown",1
"2020/02/02","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","African American",1
"2020/02/02","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Latino",1
"2020/02/02","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Female","70 - 79","No","Missing","No","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Female","70 - 79","Yes","Unknown","Yes","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Female","80+","Unknown","Unknown","Unknown","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Female","80+","Yes","Unknown","No","Unknown",1
"2020/02/02","Laboratory-confirmed case","Male","0 - 9","Yes","Unknown","Unknown","African American",1
"2020/02/02","Laboratory-confirmed case","Male","10 - 19","Unknown","Missing","No","Unknown",1
"2020/02/02","Laboratory-confirmed case","Male","20 - 29","No","Missing","No","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Male","40 - 49","Yes","Unknown","Unknown","Latino",1
"2020/02/02","Laboratory-confirmed case","Male","50 - 59","No","Missing","Missing","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Male","50 - 59","No","Unknown","No","African American",1
"2020/02/02","Laboratory-confirmed case","Male","50 - 59","Yes","Missing","Unknown","Caucasian",1
"2020/02/02","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Unknown","Unknown",1
"2020/02/02","Probable Case","Female","20 - 29","No","No","No","Caucasian",1
"2020/02/02","Probable Case","Female","20 - 29","Unknown","Unknown","Unknown","Unknown",1
"2020/02/02","Probable Case","Female","60 - 69","No","Missing","No","Caucasian",1
"2020/02/02","Probable Case","Female","60 - 69","Yes","No","No","Caucasian",1
"2020/02/02","Probable Case","Female","70 - 79","No","Unknown","Unknown","Caucasian",1
"2020/02/02","Probable Case","Male","30 - 39","No","Missing","No","Caucasian",1
"2020/02/02","Probable Case","Male","30 - 39","No","Unknown","Unknown","Caucasian",1
"2020/02/02","Probable Case","Male","40 - 49","No","Unknown","Unknown","Unknown",1
"2020/02/02","Probable Case","Male","50 - 59","Missing","Missing","Missing","Unknown",1
"2020/02/02","Probable Case","Male","50 - 59","No","Missing","Unknown","Caucasian",1
"2020/02/02","Probable Case","Male","60 - 69","No","Unknown","No","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","10 - 19","Yes","Unknown","Unknown","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","20 - 29","Yes","Missing","No","Caucasian",1
"2020/02/03","Laboratory-confirmed case","Female","30 - 39","No","Unknown","No","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","30 - 39","Unknown","Missing","No","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","African American",1
"2020/02/03","Laboratory-confirmed case","Female","40 - 49","No","No","No","Latino",1
"2020/02/03","Laboratory-confirmed case","Female","40 - 49","No","No","Unknown","African American",1
"2020/02/03","Laboratory-confirmed case","Female","40 - 49","No","No","Unknown","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","40 - 49","No","Unknown","No","African American",1
"2020/02/03","Laboratory-confirmed case","Female","40 - 49","No","Unknown","Yes","Multiracial/Other",1
"2020/02/03","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","African American",2
"2020/02/03","Laboratory-confirmed case","Female","50 - 59","Missing","Missing","No","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","50 - 59","No","Missing","No","Caucasian",2
"2020/02/03","Laboratory-confirmed case","Female","50 - 59","No","Unknown","No","African American",1
"2020/02/03","Laboratory-confirmed case","Female","50 - 59","Yes","No","Missing","Latino",1
"2020/02/03","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","60 - 69","No","Missing","No","Latino",1
"2020/02/03","Laboratory-confirmed case","Female","60 - 69","No","Missing","No","Caucasian",2
"2020/02/03","Laboratory-confirmed case","Female","60 - 69","No","No","No","Caucasian",1
"2020/02/03","Laboratory-confirmed case","Female","60 - 69","No","Unknown","No","African American",1
"2020/02/03","Laboratory-confirmed case","Female","60 - 69","Yes","No","No","African American",1
"2020/02/03","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","African American",1
"2020/02/03","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Unknown",1
"2020/02/03","Laboratory-confirmed case","Female","70 - 79","Yes","Unknown","Unknown","African American",1
"2020/02/03","Laboratory-confirmed case","Female","70 - 79","Yes","Yes","Yes","African American",1
"2020/02/03","Laboratory-confirmed case","Female","70 - 79","Yes","Yes","Yes","Caucasian",1
"2020/02/03","Laboratory-confirmed case","Female","80+","No","Missing","No","Caucasian",2
"2020/02/03","Laboratory-confirmed case","Female","80+","Yes","Unknown","No","Latino",1
"2020/02/03","Laboratory-confirmed case","Female","80+","Yes","Unknown","Unknown","African American",1
"2020/02/03","Laboratory-confirmed case","Male","10 - 19","No","No","Missing","Caucasian",1
"2020/02/03","Laboratory-confirmed case","Male","20 - 29","No","No","No","Asian",1
"2020/02/03","Laboratory-confirmed case","Male","30 - 39","Yes","Unknown","Unknown","Unknown",2
"2020/02/03","Laboratory-confirmed case","Male","40 - 49","No","Missing","No","Latino",1
"2020/02/03","Laboratory-confirmed case","Male","40 - 49","No","Unknown","Unknown","Unknown",1
"2020/02/03","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","Caucasian",1
"2020/02/03","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","African American",1
"2020/02/03","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Latino",1
"2020/02/03","Laboratory-confirmed case","Male","60 - 69","Unknown","Missing","No","African American",1
"2020/02/03","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Latino",2
"2020/02/03","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Unknown",1
"2020/02/03","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Unknown","Unknown",2
"2020/02/03","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Yes","Caucasian",1
"2020/02/03","Laboratory-confirmed case","Male","80+","No","No","No","Caucasian",1
"2020/02/03","Laboratory-confirmed case","Male","80+","Yes","No","No","Caucasian",1
"2020/02/03","Laboratory-confirmed case","Male","80+","Yes","Unknown","Yes","Caucasian",1
"2020/02/03","Probable Case","Female","20 - 29","No","Missing","No","Unknown",1
"2020/02/03","Probable Case","Female","20 - 29","No","No","No","Unknown",1
"2020/02/03","Probable Case","Female","30 - 39","Missing","Missing","Missing","Unknown",1
"2020/02/03","Probable Case","Female","30 - 39","No","Missing","No","Unknown",1
"2020/02/03","Probable Case","Female","30 - 39","No","Missing","No","Caucasian",1
"2020/02/03","Probable Case","Female","40 - 49","No","No","No","Caucasian",1
"2020/02/03","Probable Case","Female","40 - 49","No","Unknown","Unknown","Unknown",1
"2020/02/03","Probable Case","Female","50 - 59","Missing","Missing","Missing","Caucasian",1
"2020/02/03","Probable Case","Female","50 - 59","No","Missing","Missing","Unknown",1
"2020/02/03","Probable Case","Female","50 - 59","No","Missing","No","Caucasian",1
"2020/02/03","Probable Case","Female","50 - 59","Yes","Yes","No","Caucasian",1
"2020/02/03","Probable Case","Female","60 - 69","No","Missing","No","Multiracial/Other",1
"2020/02/03","Probable Case","Female","60 - 69","No","Missing","No","Unknown",1
"2020/02/03","Probable Case","Female","60 - 69","No","Missing","No","Caucasian",1
"2020/02/03","Probable Case","Female","70 - 79","No","Unknown","No","Caucasian",1
"2020/02/03","Probable Case","Female","70 - 79","Yes","Unknown","Yes","Latino",1
"2020/02/03","Probable Case","Male","40 - 49","No","Unknown","No","Unknown",1
"2020/02/03","Probable Case","Male","50 - 59","No","Missing","Missing","Caucasian",1
"2020/02/03","Probable Case","Male","60 - 69","No","Missing","Missing","Caucasian",1
"2020/02/03","Probable Case","Male","60 - 69","No","Missing","No","Caucasian",1
"2020/02/03","Probable Case","Male","70 - 79","No","Unknown","No","Caucasian",1
"2020/02/03","Probable Case","Male","70 - 79","Yes","Unknown","Yes","Caucasian",1
"2020/02/03","Probable Case","Unknown","50 - 59","Missing","Missing","No","Caucasian",1
"2020/02/04","Laboratory-confirmed case","Female","0 - 9","Missing","Missing","Missing","AIAN",1
"2020/02/04","Laboratory-confirmed case","Female","0 - 9","Missing","Missing","Missing","Unknown",1
"2020/02/04","Laboratory-confirmed case","Female","10 - 19","Missing","Missing","Missing","AIAN",2
"2020/02/04","Laboratory-confirmed case","Female","10 - 19","Missing","Missing","Missing","Unknown",2
"2020/02/04","Laboratory-confirmed case","Female","10 - 19","Missing","Missing","Missing","Caucasian",2
"2020/02/04","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","AIAN",4
"2020/02/04","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","Unknown",3
"2020/02/04","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","Caucasian",6
"2020/02/04","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","Missing","Unknown",3
"2020/02/04","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","Missing","Caucasian",3
"2020/02/04","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","Unknown",5
"2020/02/04","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","Caucasian",2
"2020/02/04","Laboratory-confirmed case","Female","40 - 49","No","Missing","No","African American",1
"2020/02/04","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","African American",1
"2020/02/04","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","Latino",1
"2020/02/04","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","Multiracial/Other",1
"2020/02/04","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","Caucasian",1
"2020/02/04","Laboratory-confirmed case","Female","50 - 59","Missing","Missing","Missing","AIAN",1
"2020/02/04","Laboratory-confirmed case","Female","50 - 59","Missing","Missing","Missing","Caucasian",6
"2020/02/04","Laboratory-confirmed case","Female","50 - 59","No","Missing","Unknown","African American",1
"2020/02/04","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","Unknown",1
"2020/02/04","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","Caucasian",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","AIAN",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","Latino",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","Unknown",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","Caucasian",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","No","Missing","Missing","Unknown",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","African American",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Unknown",2
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Caucasian",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Yes","African American",2
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Yes","Caucasian",1
"2020/02/04","Laboratory-confirmed case","Female","60 - 69","Yes","Yes","Unknown","African American",1
"2020/02/04","Laboratory-confirmed case","Female","70 - 79","Missing","Missing","Missing","Unknown",1
"2020/02/04","Laboratory-confirmed case","Female","70 - 79","Missing","Missing","Missing","Caucasian",2
"2020/02/04","Laboratory-confirmed case","Female","80+","Missing","Missing","Missing","Unknown",1
"2020/02/04","Laboratory-confirmed case","Male","0 - 9","Yes","Unknown","Unknown","African American",1
"2020/02/04","Laboratory-confirmed case","Male","0 - 9","Yes","Unknown","Unknown","Unknown",1
"2020/02/04","Laboratory-confirmed case","Male","10 - 19","Missing","Missing","Missing","Latino",1
"2020/02/04","Laboratory-confirmed case","Male","10 - 19","No","No","Unknown","Latino",1
"2020/02/04","Laboratory-confirmed case","Male","10 - 19","Yes","Unknown","Unknown","Latino",1
"2020/02/04","Laboratory-confirmed case","Male","20 - 29","Missing","Missing","Missing","Latino",1
"2020/02/04","Laboratory-confirmed case","Male","20 - 29","Missing","Missing","Missing","Unknown",1
"2020/02/04","Laboratory-confirmed case","Male","20 - 29","Missing","Missing","Missing","Caucasian",2
"2020/02/04","Laboratory-confirmed case","Male","20 - 29","Yes","Unknown","Unknown","Multiracial/Other",1
"2020/02/04","Laboratory-confirmed case","Male","20 - 29","Yes","Unknown","Unknown","Unknown",1
"2020/02/04","Laboratory-confirmed case","Male","30 - 39","Missing","Missing","Missing","Unknown",2
"2020/02/04","Laboratory-confirmed case","Male","30 - 39","Missing","Missing","Missing","Caucasian",2
"2020/02/04","Laboratory-confirmed case","Male","30 - 39","Yes","Unknown","Unknown","Caucasian",1
"2020/02/04","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","AIAN",1
"2020/02/04","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","Latino",1
"2020/02/04","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","Unknown",3
"2020/02/04","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","Caucasian",2
"2020/02/04","Laboratory-confirmed case","Male","40 - 49","Yes","Unknown","Unknown","Unknown",1
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","AIAN",1
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","Asian",1
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","Unknown",2
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","Caucasian",3
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","No","Missing","Missing","Latino",1
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","No","Missing","Missing","Caucasian",1
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","Latino",1
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","Yes","Missing","No","Unknown",1
"2020/02/04","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Asian",1
