"Date","State","Race","Cases","Deaths","Hospitalizations","Tests"
"2020-12-30","ME","Caucasian",18089,271,908,NA
"2020-12-30","ME","African_American",1611,7,53,NA
"2020-12-30","ME","Latino",NA,NA,NA,NA
"2020-12-30","ME","Asian",279,0,17,NA
"2020-12-30","ME","AIAN",72,0,3,NA
"2020-12-30","ME","NHPI",12,0,0,NA
"2020-12-30","ME","Multiracial",200,0,1,NA
"2020-12-30","ME","Other",533,4,17,NA
"2020-12-30","ME","Unknown",2703,52,40,NA
"2020-12-30","MI","Caucasian",294598,8354,NA,NA
"2020-12-30","MI","African_American",59619,3201,NA,NA
"2020-12-30","MI","Latino",NA,NA,NA,NA
"2020-12-30","MI","Asian",7681,131,NA,NA
"2020-12-30","MI","AIAN",2760,62,NA,NA
"2020-12-30","MI","NHPI",NA,NA,NA,NA
"2020-12-30","MI","Multiracial",21107,212,NA,NA
"2020-12-30","MI","Other",29293,337,NA,NA
"2020-12-30","MI","Unknown",113563,721,NA,NA
"2020-12-30","MN","Caucasian",270421,4338,13190,NA
"2020-12-30","MN","African_American",33649,274,2576,NA
"2020-12-30","MN","Latino",37282,164,1867,NA
"2020-12-30","MN","Asian",17488,190,1208,NA
"2020-12-30","MN","AIAN",3904,71,366,NA
"2020-12-30","MN","NHPI",445,5,24,NA
"2020-12-30","MN","Multiracial",5788,68,450,NA
"2020-12-30","MN","Other",5758,22,205,NA
"2020-12-30","MN","Unknown",38372,130,1862,NA
"2020-12-30","MO","Caucasian",187040,3074,NA,NA
"2020-12-30","MO","African_American",34647,701,NA,NA
"2020-12-30","MO","Latino",NA,NA,NA,NA
"2020-12-30","MO","Asian",3266,38,NA,NA
"2020-12-30","MO","AIAN",700,9,NA,NA
"2020-12-30","MO","NHPI",30,1,NA,NA
"2020-12-30","MO","Multiracial",78,1,NA,NA
"2020-12-30","MO","Other",56112,1247,NA,NA
"2020-12-30","MO","Unknown",106983,420,NA,NA
"2020-12-30","MP","Caucasian",NA,NA,NA,NA
"2020-12-30","MP","African_American",NA,NA,NA,NA
"2020-12-30","MP","Latino",NA,NA,NA,NA
"2020-12-30","MP","Asian",NA,NA,NA,NA
"2020-12-30","MP","AIAN",NA,NA,NA,NA
"2020-12-30","MP","NHPI",NA,NA,NA,NA
"2020-12-30","MP","Multiracial",NA,NA,NA,NA
"2020-12-30","MP","Other",NA,NA,NA,NA
"2020-12-30","MP","Unknown",122,2,NA,NA
"2020-12-30","MS","Caucasian",97054,2416,NA,NA
"2020-12-30","MS","African_American",72243,1957,NA,NA
"2020-12-30","MS","Latino",4770,50,NA,NA
"2020-12-30","MS","Asian",871,15,NA,NA
"2020-12-30","MS","AIAN",1709,93,NA,NA
"2020-12-30","MS","NHPI",NA,NA,NA,NA
"2020-12-30","MS","Multiracial",NA,NA,NA,NA
"2020-12-30","MS","Other",8192,64,NA,NA
"2020-12-30","MS","Unknown",28216,152,NA,NA
"2020-12-30","MT","Caucasian",48801,548,2389,NA
"2020-12-30","MT","African_American",363,NA,21,NA
"2020-12-30","MT","Latino",NA,NA,NA,NA
"2020-12-30","MT","Asian",253,NA,NA,NA
"2020-12-30","MT","AIAN",7110,181,482,NA
"2020-12-30","MT","NHPI",NA,NA,NA,NA
"2020-12-30","MT","Multiracial",NA,NA,NA,NA
"2020-12-30","MT","Other",5603,62,NA,NA
"2020-12-30","MT","Unknown",19170,159,570,NA
"2020-12-30","NC","Caucasian",271212,4140,NA,NA
"2020-12-30","NC","African_American",91016,1692,NA,NA
"2020-12-30","NC","Latino",NA,NA,NA,NA
"2020-12-30","NC","Asian",7989,80,NA,NA
"2020-12-30","NC","AIAN",7017,79,NA,NA
"2020-12-30","NC","NHPI",NA,NA,NA,NA
"2020-12-30","NC","Multiracial",NA,NA,NA,NA
"2020-12-30","NC","Other",58400,423,NA,NA
"2020-12-30","NC","Unknown",97196,315,NA,NA
"2020-12-30","ND","Caucasian",49538,NA,NA,NA
"2020-12-30","ND","African_American",2678,NA,NA,NA
"2020-12-30","ND","Latino",NA,NA,NA,NA
"2020-12-30","ND","Asian",1255,NA,NA,NA
"2020-12-30","ND","AIAN",3896,NA,NA,NA
"2020-12-30","ND","NHPI",NA,NA,NA,NA
"2020-12-30","ND","Multiracial",1128,NA,NA,NA
"2020-12-30","ND","Other",21,NA,NA,NA
"2020-12-30","ND","Unknown",33686,1289,NA,NA
"2020-12-30","NE","Caucasian",87234,1105,3721,NA
"2020-12-30","NE","African_American",4464,58,279,NA
"2020-12-30","NE","Latino",NA,NA,NA,NA
"2020-12-30","NE","Asian",2429,23,125,NA
"2020-12-30","NE","AIAN",1084,23,86,NA
"2020-12-30","NE","NHPI",201,1,12,NA
"2020-12-30","NE","Multiracial",NA,NA,NA,NA
"2020-12-30","NE","Other",3402,21,153,NA
"2020-12-30","NE","Unknown",66483,380,844,NA
"2020-12-30","NH","Caucasian",20851,593,670,NA
"2020-12-30","NH","African_American",699,10,36,NA
"2020-12-30","NH","Latino",2687,19,86,NA
"2020-12-30","NH","Asian",600,5,34,NA
"2020-12-30","NH","AIAN",43,0,1,NA
"2020-12-30","NH","NHPI",0,0,0,NA
"2020-12-30","NH","Multiracial",205,0,5,NA
"2020-12-30","NH","Other",1062,2,8,NA
"2020-12-30","NH","Unknown",17095,112,61,NA
"2020-12-30","NJ","Caucasian",134541,10269,18035,NA
"2020-12-30","NJ","African_American",41833,3183,8620,NA
"2020-12-30","NJ","Latino",95532,3690,12132,NA
"2020-12-30","NJ","Asian",15941,994,2118,NA
"2020-12-30","NJ","AIAN",NA,NA,NA,NA
"2020-12-30","NJ","NHPI",NA,NA,NA,NA
"2020-12-30","NJ","Multiracial",NA,NA,NA,NA
"2020-12-30","NJ","Other",57231,501,2623,NA
"2020-12-30","NJ","Unknown",127186,315,3562,NA
"2020-12-30","NM","Caucasian",20881,697,1553,NA
"2020-12-30","NM","African_American",1722,33,105,NA
"2020-12-30","NM","Latino",58253,851,3187,NA
"2020-12-30","NM","Asian",1157,18,80,NA
"2020-12-30","NM","AIAN",23648,727,2922,NA
"2020-12-30","NM","NHPI",NA,NA,16,NA
"2020-12-30","NM","Multiracial",NA,NA,NA,NA
"2020-12-30","NM","Other",NA,NA,185,NA
"2020-12-30","NM","Unknown",35525,110,1566,NA
"2020-12-30","NV","Caucasian",59276,1452,NA,306639
"2020-12-30","NV","African_American",12356,271,NA,61095
"2020-12-30","NV","Latino",61520,679,NA,105565
"2020-12-30","NV","Asian",12793,318,NA,43749
"2020-12-30","NV","AIAN",853,30,NA,5590
"2020-12-30","NV","NHPI",NA,NA,NA,NA
"2020-12-30","NV","Multiracial",NA,NA,NA,NA
"2020-12-30","NV","Other",19226,5,NA,120234
"2020-12-30","NV","Unknown",56570,311,NA,514782
"2020-12-30","NY","Caucasian",NA,12184,15238,NA
"2020-12-30","NY","African_American",NA,8242,17826,NA
"2020-12-30","NY","Latino",NA,8526,21084,NA
"2020-12-30","NY","Asian",NA,2275,5195,NA
"2020-12-30","NY","AIAN",NA,NA,NA,NA
"2020-12-30","NY","NHPI",NA,NA,NA,NA
"2020-12-30","NY","Multiracial",NA,NA,NA,NA
"2020-12-30","NY","Other",NA,2325,NA,NA
"2020-12-30","NY","Unknown",957412,4540,30652,NA
"2020-12-30","OH","Caucasian",391903,6892,25392,NA
"2020-12-30","OH","African_American",74855,1133,7291,NA
"2020-12-30","OH","Latino",NA,NA,NA,NA
"2020-12-30","OH","Asian",9932,62,516,NA
"2020-12-30","OH","AIAN",788,8,55,NA
"2020-12-30","OH","NHPI",531,4,50,NA
"2020-12-30","OH","Multiracial",17223,160,1374,NA
"2020-12-30","OH","Other",38838,88,1065,NA
"2020-12-30","OH","Unknown",156678,508,2259,NA
"2020-12-30","OK","Caucasian",163706,1769,NA,NA
"2020-12-30","OK","African_American",16279,150,NA,NA
"2020-12-30","OK","Latino",NA,NA,NA,NA
"2020-12-30","OK","Asian",5538,37,NA,NA
"2020-12-30","OK","AIAN",27830,216,NA,NA
"2020-12-30","OK","NHPI",NA,NA,NA,NA
"2020-12-30","OK","Multiracial",NA,NA,NA,NA
"2020-12-30","OK","Other",9903,74,NA,NA
"2020-12-30","OK","Unknown",63774,207,NA,NA
"2020-12-30","OR","Caucasian",52280,976,3819,NA
"2020-12-30","OR","African_American",2795,36,213,NA
"2020-12-30","OR","Latino",NA,NA,NA,NA
"2020-12-30","OR","Asian",3700,44,249,NA
"2020-12-30","OR","AIAN",2146,25,175,NA
"2020-12-30","OR","NHPI",1075,14,114,NA
"2020-12-30","OR","Multiracial",1822,32,114,NA
"2020-12-30","OR","Other",27979,125,1211,NA
"2020-12-30","OR","Unknown",20463,216,560,NA
"2020-12-30","PA","Caucasian",296809,11775,NA,NA
"2020-12-30","PA","African_American",59167,2139,NA,NA
"2020-12-30","PA","Latino",NA,NA,NA,NA
"2020-12-30","PA","Asian",10746,253,NA,NA
"2020-12-30","PA","AIAN",NA,NA,NA,NA
"2020-12-30","PA","NHPI",NA,NA,NA,NA
"2020-12-30","PA","Multiracial",NA,NA,NA,NA
"2020-12-30","PA","Other",5586,551,NA,NA
"2020-12-30","PA","Unknown",259025,954,NA,NA
"2020-12-30","PR","Caucasian",NA,NA,NA,NA
"2020-12-30","PR","African_American",NA,NA,NA,NA
"2020-12-30","PR","Latino",NA,NA,NA,NA
"2020-12-30","PR","Asian",NA,NA,NA,NA
"2020-12-30","PR","AIAN",NA,NA,NA,NA
"2020-12-30","PR","NHPI",NA,NA,NA,NA
"2020-12-30","PR","Multiracial",NA,NA,NA,NA
"2020-12-30","PR","Other",NA,NA,NA,NA
"2020-12-30","PR","Unknown",75888,1484,NA,NA
"2020-12-30","RI","Caucasian",34469,1234,2618,158459
"2020-12-30","RI","African_American",5555,88,473,14709
"2020-12-30","RI","Latino",23188,158,1473,42914
"2020-12-30","RI","Asian",1397,23,104,5917
"2020-12-30","RI","AIAN",182,1,11,4516
"2020-12-30","RI","NHPI",0,0,0,470
"2020-12-30","RI","Multiracial",661,1,23,228
"2020-12-30","RI","Other",1230,0,91,16588
"2020-12-30","RI","Unknown",21267,272,1713,389812
"2020-12-30","SC","Caucasian",135787,2754,6901,NA
"2020-12-30","SC","African_American",66349,1582,5517,NA
"2020-12-30","SC","Latino",NA,NA,NA,NA
"2020-12-30","SC","Asian",2865,38,127,NA
"2020-12-30","SC","AIAN",NA,NA,NA,NA
"2020-12-30","SC","NHPI",NA,NA,NA,NA
"2020-12-30","SC","Multiracial",NA,NA,NA,NA
"2020-12-30","SC","Other",28162,160,737,NA
"2020-12-30","SC","Unknown",70312,715,954,NA
"2020-12-30","SD","Caucasian",67395,1124,3802,NA
"2020-12-30","SD","African_American",2073,6,107,NA
"2020-12-30","SD","Latino",3305,15,136,NA
"2020-12-30","SD","Asian",1214,15,65,NA
"2020-12-30","SD","AIAN",11917,187,1091,NA
"2020-12-30","SD","NHPI",NA,NA,NA,NA
"2020-12-30","SD","Multiracial",NA,NA,NA,NA
"2020-12-30","SD","Other",2160,13,78,NA
"2020-12-30","SD","Unknown",10656,104,360,NA
"2020-12-30","TN","Caucasian",340235,5014,NA,NA
"2020-12-30","TN","African_American",74248,1250,NA,NA
"2020-12-30","TN","Latino",NA,NA,NA,NA
"2020-12-30","TN","Asian",4675,37,NA,NA
"2020-12-30","TN","AIAN",716,8,NA,NA
"2020-12-30","TN","NHPI",388,4,NA,NA
"2020-12-30","TN","Multiracial",NA,NA,NA,NA
"2020-12-30","TN","Other",49923,231,NA,NA
"2020-12-30","TN","Unknown",110624,266,NA,NA
"2020-12-30","TX","Caucasian",20770,9671,NA,NA
"2020-12-30","TX","African_American",11010,2632,NA,NA
"2020-12-30","TX","Latino",26322,13480,NA,NA
"2020-12-30","TX","Asian",907,473,NA,NA
"2020-12-30","TX","AIAN",NA,NA,NA,NA
"2020-12-30","TX","NHPI",NA,NA,NA,NA
"2020-12-30","TX","Multiracial",NA,NA,NA,NA
"2020-12-30","TX","Other",341,133,NA,NA
"2020-12-30","TX","Unknown",1678097,699,NA,NA
"2020-12-30","UT","Caucasian",164872,816,6488,1114294
"2020-12-30","UT","African_American",3764,14,184,21259
"2020-12-30","UT","Latino",62203,213,2640,216603
"2020-12-30","UT","Asian",5280,39,255,29862
"2020-12-30","UT","AIAN",3816,52,360,18559
"2020-12-30","UT","NHPI",7194,44,653,24829
"2020-12-30","UT","Multiracial",NA,NA,NA,NA
"2020-12-30","UT","Other",21181,88,901,106145
"2020-12-30","UT","Unknown",27560,70,264,246588
"2020-12-30","VA","Caucasian",132227,2921,7130,NA
"2020-12-30","VA","African_American",58306,1188,5004,NA
"2020-12-30","VA","Latino",57094,398,3886,NA
"2020-12-30","VA","Asian",11071,189,791,NA
"2020-12-30","VA","AIAN",442,9,15,NA
"2020-12-30","VA","NHPI",NA,NA,NA,NA
"2020-12-30","VA","Multiracial",3826,55,157,NA
"2020-12-30","VA","Other",9612,58,374,NA
"2020-12-30","VA","Unknown",71767,166,553,NA
"2020-12-30","VI","Caucasian",NA,NA,NA,NA
"2020-12-30","VI","African_American",NA,NA,NA,NA
"2020-12-30","VI","Latino",NA,NA,NA,NA
"2020-12-30","VI","Asian",NA,NA,NA,NA
"2020-12-30","VI","AIAN",NA,NA,NA,NA
"2020-12-30","VI","NHPI",NA,NA,NA,NA
"2020-12-30","VI","Multiracial",NA,NA,NA,NA
"2020-12-30","VI","Other",NA,NA,NA,NA
"2020-12-30","VI","Unknown",2010,23,NA,NA
"2020-12-30","VT","Caucasian",5800,118,NA,NA
"2020-12-30","VT","African_American",366,1,NA,NA
"2020-12-30","VT","Latino",NA,NA,NA,NA
"2020-12-30","VT","Asian",372,2,NA,NA
"2020-12-30","VT","AIAN",10,1,NA,NA
"2020-12-30","VT","NHPI",NA,NA,NA,NA
"2020-12-30","VT","Multiracial",NA,NA,NA,NA
"2020-12-30","VT","Other",113,2,NA,NA
"2020-12-30","VT","Unknown",615,10,NA,NA
"2020-12-30","WA","Caucasian",64289,2405,4625,NA
"2020-12-30","WA","African_American",7753,107,515,NA
"2020-12-30","WA","Latino",48516,434,2249,NA
"2020-12-30","WA","Asian",8348,242,642,NA
"2020-12-30","WA","AIAN",2012,73,178,NA
"2020-12-30","WA","NHPI",2683,55,295,NA
"2020-12-30","WA","Multiracial",3968,43,167,NA
"2020-12-30","WA","Other",2329,53,189,NA
"2020-12-30","WA","Unknown",102432,8,5711,NA
"2020-12-30","WI","Caucasian",389325,4347,14602,NA
"2020-12-30","WI","African_American",34257,373,2561,NA
"2020-12-30","WI","Latino",NA,NA,2089,NA
"2020-12-30","WI","Asian",11606,95,441,NA
"2020-12-30","WI","AIAN",6420,71,315,NA
"2020-12-30","WI","NHPI",NA,NA,NA,NA
"2020-12-30","WI","Multiracial",NA,NA,NA,NA
"2020-12-30","WI","Other",28672,93,263,NA
"2020-12-30","WI","Unknown",43191,178,936,NA
"2020-12-30","WV","Caucasian",51413,896,NA,NA
"2020-12-30","WV","African_American",2057,20,NA,NA
"2020-12-30","WV","Latino",NA,NA,NA,NA
"2020-12-30","WV","Asian",NA,NA,NA,NA
"2020-12-30","WV","AIAN",NA,NA,NA,NA
"2020-12-30","WV","NHPI",NA,NA,NA,NA
"2020-12-30","WV","Multiracial",NA,NA,NA,NA
"2020-12-30","WV","Other",1098,11,NA,NA
"2020-12-30","WV","Unknown",29657,391,NA,NA
"2020-12-30","WY","Caucasian",22274,330,NA,NA
"2020-12-30","WY","African_American",343,1,NA,NA
"2020-12-30","WY","Latino",3423,26,NA,NA
"2020-12-30","WY","Asian",216,4,NA,NA
"2020-12-30","WY","AIAN",1894,37,NA,NA
"2020-12-30","WY","NHPI",114,1,NA,NA
"2020-12-30","WY","Multiracial",NA,NA,NA,NA
"2020-12-30","WY","Other",1222,4,NA,NA
"2020-12-30","WY","Unknown",17445,28,NA,NA
"2020-12-27","AK","Caucasian",14474,73,312,NA
"2020-12-27","AK","African_American",1241,8,38,NA
"2020-12-27","AK","Latino",NA,NA,NA,NA
"2020-12-27","AK","Asian",1846,19,90,NA
"2020-12-27","AK","AIAN",8969,74,256,NA
"2020-12-27","AK","NHPI",1302,11,109,NA
"2020-12-27","AK","Multiracial",3550,5,63,NA
"2020-12-27","AK","Other",5863,3,45,NA
"2020-12-27","AK","Unknown",8536,7,79,NA
"2020-12-27","AL","Caucasian",108236,2373,NA,NA
"2020-12-27","AL","African_American",58238,1334,NA,NA
"2020-12-27","AL","Latino",NA,NA,NA,NA
"2020-12-27","AL","Asian",1317,15,NA,NA
"2020-12-27","AL","AIAN",NA,NA,NA,NA
"2020-12-27","AL","NHPI",NA,NA,NA,NA
